Country,Scenario,Year,Range,Variable,Technology,Unit,Value
US,Low_Nuclear_CCS_Cost_95by2050_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.065486153732126
US,Low_Nuclear_CCS_Cost_95by2050_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.160930124306296
US,Low_Nuclear_CCS_Cost_95by2050_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.00118623448557
US,Low_Nuclear_CCS_Cost_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.034259539835123
US,Low_Nuclear_CCS_Cost_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.140617152505534
US,Low_Nuclear_CCS_Cost_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.005247631856656
US,Low_RE_Cost,2050,Other,Curtailment fraction,NA,Dmnl,0.033566608931854
US,Low_RE_Cost,2050,Other,Storage fraction,Batteries,Dmnl,0.122507433084496
US,Low_RE_Cost,2050,Other,Storage fraction,PHS,Dmnl,0.004455943357529
US,Low_RE_Cost_100by2035,2050,Other,Curtailment fraction,NA,Dmnl,0.060374534549839
US,Low_RE_Cost_100by2035,2050,Other,Storage fraction,Batteries,Dmnl,0.131576570335349
US,Low_RE_Cost_100by2035,2050,Other,Storage fraction,PHS,Dmnl,0.001609183510662
US,Low_RE_Cost_95by2050,2050,Other,Curtailment fraction,NA,Dmnl,0.062951655015881
US,Low_RE_Cost_95by2050,2050,Other,Storage fraction,Batteries,Dmnl,0.149882006277352
US,Low_RE_Cost_95by2050,2050,Other,Storage fraction,PHS,Dmnl,0.00236276281526
US,Low_RE_Cost_95by2050_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.102490250681683
US,Low_RE_Cost_95by2050_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.156234682819812
US,Low_RE_Cost_95by2050_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.001560247902019
US,Low_RE_Cost_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.036760308400417
US,Low_RE_Cost_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.12460212109223
US,Low_RE_Cost_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.003930187093756
US,Mid_Case,2050,Other,Curtailment fraction,NA,Dmnl,0.0181250460559
US,Mid_Case,2050,Other,Storage fraction,Batteries,Dmnl,0.122087459364063
US,Mid_Case,2050,Other,Storage fraction,PHS,Dmnl,0.007946606141032
US,Mid_Case_100by2035,2050,Other,Curtailment fraction,NA,Dmnl,0.04870946117551
US,Mid_Case_100by2035,2050,Other,Storage fraction,Batteries,Dmnl,0.136906853192152
US,Mid_Case_100by2035,2050,Other,Storage fraction,PHS,Dmnl,0.002364880864337
US,Mid_Case_95by2050,2050,Other,Curtailment fraction,NA,Dmnl,0.042654680033634
US,Mid_Case_95by2050,2050,Other,Storage fraction,Batteries,Dmnl,0.155332705816903
US,Mid_Case_95by2050,2050,Other,Storage fraction,PHS,Dmnl,0.004206928498034
US,Mid_Case_95by2050_NoNascent,2050,Medium,Curtailment fraction,NA,Dmnl,0.070461210258075
US,Mid_Case_95by2050_NoNascent,2050,Medium,Storage fraction,Batteries,Dmnl,0.164303229532192
US,Mid_Case_95by2050_NoNascent,2050,Medium,Storage fraction,PHS,Dmnl,0.001691487730619
US,Mid_Case_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.027355097426419
US,Mid_Case_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.132912177460726
US,Mid_Case_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.005928659887248
US,No_IRA,2050,Other,Curtailment fraction,NA,Dmnl,0.021791740537999
US,No_IRA,2050,Other,Storage fraction,Batteries,Dmnl,0.082816819559957
US,No_IRA,2050,Other,Storage fraction,PHS,Dmnl,0.005758550426913
US,No_IRA_100by2035,2050,Other,Curtailment fraction,NA,Dmnl,0.033228667998546
US,No_IRA_100by2035,2050,Other,Storage fraction,Batteries,Dmnl,0.091072715252811
US,No_IRA_100by2035,2050,Other,Storage fraction,PHS,Dmnl,0.001958190771425
US,No_IRA_95by2050,2050,Other,Curtailment fraction,NA,Dmnl,0.035265231832957
US,No_IRA_95by2050,2050,Other,Storage fraction,Batteries,Dmnl,0.108793926496051
US,No_IRA_95by2050,2050,Other,Storage fraction,PHS,Dmnl,0.004017855114412
US,No_IRA_95by2050_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.045443530665312
US,No_IRA_95by2050_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.107071261102835
US,No_IRA_95by2050_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.003768083135907
US,No_IRA_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.017211241426645
US,No_IRA_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.080682111128987
US,No_IRA_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.005769532877032
US,No_TC_Expiration,2050,Other,Curtailment fraction,NA,Dmnl,0.105764335360373
US,No_TC_Expiration,2050,Other,Storage fraction,Batteries,Dmnl,0.13830664726291
US,No_TC_Expiration,2050,Other,Storage fraction,PHS,Dmnl,0.008597129917945
US,No_TC_Expiration_100by2035,2050,Other,Curtailment fraction,NA,Dmnl,0.15752539626125
US,No_TC_Expiration_100by2035,2050,Other,Storage fraction,Batteries,Dmnl,0.159775325056036
US,No_TC_Expiration_100by2035,2050,Other,Storage fraction,PHS,Dmnl,0.007900725898327
US,No_TC_Expiration_95by2050,2050,Other,Curtailment fraction,NA,Dmnl,0.149456967066842
US,No_TC_Expiration_95by2050,2050,Other,Storage fraction,Batteries,Dmnl,0.173472418360232
US,No_TC_Expiration_95by2050,2050,Other,Storage fraction,PHS,Dmnl,0.008477789740167
US,No_TC_Expiration_95by2050_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.218332013223726
US,No_TC_Expiration_95by2050_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.187703298601608
US,No_TC_Expiration_95by2050_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.004973445531841
US,No_TC_Expiration_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.09977934706121
US,No_TC_Expiration_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.149958861228685
US,No_TC_Expiration_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.008113647476373
US,PVB,2050,Other,Curtailment fraction,NA,Dmnl,0.015266840554814
US,PVB,2050,Other,Storage fraction,Batteries,Dmnl,0.124916874611564
US,PVB,2050,Other,Storage fraction,PHS,Dmnl,0.007392469318846
US,PVB_100by2035,2050,Other,Curtailment fraction,NA,Dmnl,0.041991367353318
US,PVB_100by2035,2050,Other,Storage fraction,Batteries,Dmnl,0.131025527122215
US,PVB_100by2035,2050,Other,Storage fraction,PHS,Dmnl,0.003432397658009
US,PVB_95by2050,2050,Other,Curtailment fraction,NA,Dmnl,0.040772798947082
US,PVB_95by2050,2050,Other,Storage fraction,Batteries,Dmnl,0.1556279856145
US,PVB_95by2050,2050,Other,Storage fraction,PHS,Dmnl,0.003589980817914
US,PVB_95by2050_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.064473768264011
US,PVB_95by2050_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.16231197182546
US,PVB_95by2050_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.001862003694081
US,PVB_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.028915545208203
US,PVB_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.134364360982999
US,PVB_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.00606181351758
US,Reduced_RE_Resource,2050,Other,Curtailment fraction,NA,Dmnl,0.025536234315879
US,Reduced_RE_Resource,2050,Other,Storage fraction,Batteries,Dmnl,0.155774639867919
US,Reduced_RE_Resource,2050,Other,Storage fraction,PHS,Dmnl,0.008997469112308
US,Reduced_RE_Resource_100by2035,2050,Other,Curtailment fraction,NA,Dmnl,0.041030573406569
US,Reduced_RE_Resource_100by2035,2050,Other,Storage fraction,Batteries,Dmnl,0.167989971814731
US,Reduced_RE_Resource_100by2035,2050,Other,Storage fraction,PHS,Dmnl,0.006313000018111
US,Reduced_RE_Resource_95by2050,2050,Other,Curtailment fraction,NA,Dmnl,0.042754539841756
US,Reduced_RE_Resource_95by2050,2050,Other,Storage fraction,Batteries,Dmnl,0.184033223521028
US,Reduced_RE_Resource_95by2050,2050,Other,Storage fraction,PHS,Dmnl,0.00645983809627
US,Reduced_RE_Resource_95by2050_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.146963488805657
US,Reduced_RE_Resource_95by2050_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.237915822879082
US,Reduced_RE_Resource_95by2050_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.005408793715749
US,Reduced_RE_Resource_NoNascent,2050,Other,Curtailment fraction,NA,Dmnl,0.104144433296234
US,Reduced_RE_Resource_NoNascent,2050,Other,Storage fraction,Batteries,Dmnl,0.200157828014518
US,Reduced_RE_Resource_NoNascent,2050,Other,Storage fraction,PHS,Dmnl,0.007767328938521
FR,N1 – Reference,2050,High,Curtailment fraction,NA,Dmnl,0.005451528798293
FR,N1 – Reference,2050,High,Storage fraction,Batteries,Dmnl,0.025124437070396
FR,N1 – Reference,2050,High,Storage fraction,P2H,Dmnl,0.034605356719602
FR,N1 – Reference,2050,High,Storage fraction,PHS,Dmnl,0.044560322351268
FR,N2 – Reference,2050,Other,Curtailment fraction,NA,Dmnl,0.001749271137026
FR,N2 – Reference,2050,Other,Storage fraction,Batteries,Dmnl,0.006413994169096
FR,N2 – Reference,2050,Other,Storage fraction,P2H,Dmnl,0.01399416909621
FR,N2 – Reference,2050,Other,Storage fraction,PHS,Dmnl,0.051603498542274
FR,N03 – Reference,2050,Medium,Curtailment fraction,NA,Dmnl,0
FR,N03 – Reference,2050,Medium,Storage fraction,Batteries,Dmnl,0.007590890930883
FR,N03 – Reference,2050,Medium,Storage fraction,P2H,Dmnl,0
FR,N03 – Reference,2050,Medium,Storage fraction,PHS,Dmnl,0.062724730323612
FR,M0 – Sobriety,2050,High,Curtailment fraction,NA,Dmnl,0.023613193403298
FR,M0 – Sobriety,2050,High,Storage fraction,Batteries,Dmnl,0.05003748125937
FR,M0 – Sobriety,2050,High,Storage fraction,P2H,Dmnl,0.050974512743628
FR,M0 – Sobriety,2050,High,Storage fraction,PHS,Dmnl,0.038230884557721
FR,M1 – Sobriety,2050,Other,Curtailment fraction,NA,Dmnl,0.018841911764706
FR,M1 – Sobriety,2050,Other,Storage fraction,Batteries,Dmnl,0.041590073529412
FR,M1 – Sobriety,2050,Other,Storage fraction,P2H,Dmnl,0.033318014705882
FR,M1 – Sobriety,2050,Other,Storage fraction,PHS,Dmnl,0.045726102941177
FR,M23 – Sobriety,2050,Medium,Curtailment fraction,NA,Dmnl,0.007109004739337
FR,M23 – Sobriety,2050,Medium,Storage fraction,Batteries,Dmnl,0.027488151658768
FR,M23 – Sobriety,2050,Medium,Storage fraction,P2H,Dmnl,0.031042654028436
FR,M23 – Sobriety,2050,Medium,Storage fraction,PHS,Dmnl,0.043364928909953
FR,N1 – Sobriety,2050,High,Curtailment fraction,NA,Dmnl,0.002767527675277
FR,N1 – Sobriety,2050,High,Storage fraction,Batteries,Dmnl,0.006872037914692
FR,N1 – Sobriety,2050,High,Storage fraction,P2H,Dmnl,0
FR,N1 – Sobriety,2050,High,Storage fraction,PHS,Dmnl,0.04218009478673
FR,N2 – Sobriety,2050,Other,Curtailment fraction,NA,Dmnl,0.000393700787402
FR,N2 – Sobriety,2050,Other,Storage fraction,Batteries,Dmnl,0.00511811023622
FR,N2 – Sobriety,2050,Other,Storage fraction,P2H,Dmnl,0
FR,N2 – Sobriety,2050,Other,Storage fraction,PHS,Dmnl,0.061417322834646
FR,N03 – Sobriety,2050,Medium,Curtailment fraction,NA,Dmnl,0
FR,N03 – Sobriety,2050,Medium,Storage fraction,Batteries,Dmnl,0.007807807807808
FR,N03 – Sobriety,2050,Medium,Storage fraction,P2H,Dmnl,0
FR,N03 – Sobriety,2050,Medium,Storage fraction,PHS,Dmnl,0.079279279279279
FR,M0 – Reindustrialisation,2050,High,Curtailment fraction,NA,Dmnl,0.036692369050784
FR,M0 – Reindustrialisation,2050,High,Storage fraction,Batteries,Dmnl,0.204204204204204
FR,M0 – Reindustrialisation,2050,High,Storage fraction,P2H,Dmnl,0.278678678678679
FR,M0 – Reindustrialisation,2050,High,Storage fraction,PHS,Dmnl,0.130930930930931
FR,M1 – Reindustrialisation,2050,Other,Curtailment fraction,NA,Dmnl,0.032869591805534
FR,M1 – Reindustrialisation,2050,Other,Storage fraction,Batteries,Dmnl,0.054731692401774
FR,M1 – Reindustrialisation,2050,Other,Storage fraction,P2H,Dmnl,0.04739336492891
FR,M1 – Reindustrialisation,2050,Other,Storage fraction,PHS,Dmnl,0.032105182693778
FR,M23 – Reindustrialisation,2050,Medium,Curtailment fraction,NA,Dmnl,0.013318534961154
FR,M23 – Reindustrialisation,2050,Medium,Storage fraction,Batteries,Dmnl,0.028381163786269
FR,M23 – Reindustrialisation,2050,Medium,Storage fraction,P2H,Dmnl,0.045029332487712
FR,M23 – Reindustrialisation,2050,Medium,Storage fraction,PHS,Dmnl,0.031393689551292
FR,N1 – Reindustrialisation,2050,High,Curtailment fraction,NA,Dmnl,0.006909430438842
FR,N1 – Reindustrialisation,2050,High,Storage fraction,Batteries,Dmnl,0.031932773109244
FR,N1 – Reindustrialisation,2050,High,Storage fraction,P2H,Dmnl,0.030252100840336
FR,N1 – Reindustrialisation,2050,High,Storage fraction,PHS,Dmnl,0.035294117647059
FR,N2 – Reindustrialisation,2050,Other,Curtailment fraction,NA,Dmnl,0.002417582417582
FR,N2 – Reindustrialisation,2050,Other,Storage fraction,Batteries,Dmnl,0.028131868131868
FR,N2 – Reindustrialisation,2050,Other,Storage fraction,P2H,Dmnl,0.012747252747253
FR,N2 – Reindustrialisation,2050,Other,Storage fraction,PHS,Dmnl,0.038241758241758
FR,N03 – Reindustrialisation,2050,Medium,Curtailment fraction,NA,Dmnl,0.00082349711776
FR,N03 – Reindustrialisation,2050,Medium,Storage fraction,Batteries,Dmnl,0.016469942355202
FR,N03 – Reindustrialisation,2050,Medium,Storage fraction,P2H,Dmnl,0
FR,N03 – Reindustrialisation,2050,Medium,Storage fraction,PHS,Dmnl,0.044743343398298
